sample_id,teacher_split,student_split,teacher_raw_label,student_raw_label,teacher_canonical_label,student_canonical_label,raw_label_match,canonical_label_match,cross_split
870143296412069890_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
870392021319417857_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
870415244258160640_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
871791800020869120_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
872455356047278081_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
873981955896991744_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
875540511989223426_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
876324183973801986_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
876714985937883137_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
877484057688461312_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
877536200587956225_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
879368692517273601_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
879974103444320256_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
880834003984457731_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
880988166219497476_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
901726453603192832_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
904549453058715648_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
904736960060772352_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
904791464382791680_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
904927092130930688_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
904943410880098305_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
905033828095455236_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
905164508561321988_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
905239131525193729_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
905486990279397382_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
905487148652036096_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
905685100901179392_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
905690265637330944_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
905712250387816450_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
905716323757547521_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
905719175271915520_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
905732896027287552_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
906085025967255552_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
906182698493992960_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
906282411121680384_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
906336876738613250_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
906482104581603328_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
906832179036073984_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
906927848648212481_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
906927887454011394_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
907123330813235201_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
907217422553436160_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
907351418717302791_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
907371959800938496_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
907439944792190981_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
907523892763172864_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
907553523176497153_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
907654309587779584_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
907794445063598081_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908038429388222473_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908341048568680448_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908359896994926596_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908482780769554432_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908517505819389953_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908711046604578816_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
908755797726732289_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909130989544329216_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909383732775153664_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909397291060088832_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
909420222628671488_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909425490250944517_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909442415924318209_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909447941550690304_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909458087735468033_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909496323312889856_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909722343106367488_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909722848046010368_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909769051966201857_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909769464337588225_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909802038804008962_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909808230326513664_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909810241189109761_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
909855675647438848_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
909903953617473536_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
909910136092790784_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
909927931316703233_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
909935975630909440_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
909963325944901633_0,test,test,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,True,True,False
909999633128202240_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
910008835552583680_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910013579662782464_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910015187322900480_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910043537575743488_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910083948071579649_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
910089439770226689_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910118239618912258_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910119285623857152_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910128042902560768_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910147650162438144_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910177380408446976_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910235483015450625_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910243047568560128_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910247262135218176_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910260902368333824_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
910524067060609024_0,test,test,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,True,True,False
910537811220078593_0,test,test,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,True,True,False
910563637445750792_0,test,test,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,True,True,False
